codDepartamento,departamento,codMunicipio,municipio,totalPoblacion,emisionesEnergia,emisionesIPPU,emisionesAgricultura,emisionesResiduos,emisionesDeforestacion,emisionesTotales,capturaBosques,balanceCarbono,emisionesPerCapita,balancePerCapita,IEC,clasificacion,cluster,perfil,latitud,longitud
68,SANTANDER,68176,CHIMA,2966,103.82967,18.9,18320.910085714288,29.36285333333333,3869.3578418526367,22342.360450900254,64557.597315797546,-42215.23686489729,7.532825506035151,-14.233053562001784,42.75490960545247,Equilibrio,0,Agrícola-Ganadero,6.3833,-73.5333
68,SANTANDER,68179,CHIPATA,5078,178.117254,17.15,10005.314851428571,20.90676,1615.9390827477964,11837.427948176368,18172.05665478723,-6334.628706610862,2.331120115828351,-1.247465282908795,52.76701508219266,Equilibrio,0,Agrícola-Ganadero,6.5667,-72.7333
68,SANTANDER,68190,CIMITARRA,33127,3416.182182,11053.67,508734.3157690743,346.8208696375892,371103.7922462275,894654.7810669395,524211.6193987905,370443.16166814894,27.00681562070032,11.182514615514505,98.71183805283528,Emisor,2,Mixto-Transición,6.3167,-73.9333
68,SANTANDER,68207,CONCEPCION,5846,0.0,19.6,21627.09548,15.90011111111112,302.5640076086478,21965.15959871976,41634.35958526776,-19669.199986548003,3.7572972286554496,-3.3645569597242564,49.02895811737376,Equilibrio,0,Agrícola-Ganadero,6.3833,-72.7
68,SANTANDER,68209,CONFINES,3258,160.308792,18.55,7092.602891428572,24.607706666666665,9858.494063959244,17154.56345405448,19562.27926353759,-2407.71580948311,5.26536631493385,-0.7390165161089964,53.86382014167433,Equilibrio,2,Mixto-Transición,6.35,-73.1167
68,SANTANDER,68211,CONTRATACION,3771,164.92266,11140.5,6450.432765714286,61.19116890809899,235.55282608551408,18052.5994207079,46371.53490330915,-28318.93548260125,4.787218090879846,-7.509662021373972,46.60737687700187,Equilibrio,1,Mixto-Transición,6.2833,-73.4333
68,SANTANDER,68217,COROMORO,5172,142.17399,1150.65,24916.46501714286,5.828419492570454,7033.652426501183,33248.76985313661,212526.53817559785,-179277.76832246123,6.4286097937232425,-34.66314159367,13.824166543191666,Sumidero,0,Agrícola-Ganadero,6.35,-72.9333
68,SANTANDER,68229,CURITI,13122,733.038642,418151.485,9616.042868571429,147.18256,4843.066044252832,433490.8151148242,51029.0521232265,382461.7629915977,33.035422581529055,29.14660592833392,98.8725364965306,Emisor,1,Mixto-Transición,6.6167,-72.9833
68,SANTANDER,68235,EL CARMEN DE CHUCURI,21697,643.755672,17676.61,58979.58430112,99.59727555555556,139610.7747100748,217010.3219587504,347160.17087408924,-130149.84891533888,10.0018584117044,-5.9985181783352015,21.777862076750548,Sumidero,2,Mixto-Transición,6.7,-73.5167
68,SANTANDER,68245,EL GUACAMAYO,2175,57.237264,9.45,7831.817642857144,3.739586666666668,6192.646646460736,14094.891139984546,51268.70781109845,-37173.81667111391,6.4804097195331245,-17.09140996373053,44.14490804180284,Equilibrio,2,Mixto-Transición,6.3833,-73.6167
68,SANTANDER,68250,EL PENON,5270,100.623726,17.15,17127.62970857143,11.723600000000005,8718.690120425692,25975.817154997123,68901.6209827491,-42925.80382775197,4.92899756261805,-8.145313819307775,42.55985967219479,Equilibrio,0,Agrícola-Ganadero,6.0333,-73.95
68,SANTANDER,68255,EL PLAYON,14073,750.9096,59.5,14962.404874285714,140.04419333333334,40917.61391882916,56830.47258644821,176671.02687906465,-119840.55429261643,4.038262814357153,-8.515636629902398,23.812840274544687,Sumidero,2,Mixto-Transición,7.4833,-73.2
68,SANTANDER,68264,ENCINO,2621,54.446742,10.15,17924.216537142856,17.994552814627777,841.56906332323,18848.376895280715,140212.59484561245,-121364.21795033172,7.191292214910613,-46.30454710046995,23.50402343224224,Sumidero,0,Agrícola-Ganadero,6.15,-73.1333
68,SANTANDER,68266,ENCISO,3571,113.488452,14864.73,7768.379397142857,29.83756740740741,134.51103579303367,22910.9464523433,20338.832238943723,2572.114213399578,6.415834906844946,0.7202784131614612,55.24921474462035,Equilibrio,1,Mixto-Transición,6.2333,-72.65
68,SANTANDER,68271,FLORIAN,5570,168.932988,175.55,16359.261788571428,42.244334838473,5928.135262969788,22674.124374379688,64728.1702250676,-42054.04585068791,4.070758415508023,-7.55009799832817,42.799187968100654,Equilibrio,0,Agrícola-Ganadero,7.065,-73.0867
68,SANTANDER,68276,FLORIDABLANCA,297269,38657.3931702,1678.25,5857.513868571428,11342.483631111112,4300.683811138682,61836.32448102122,26495.6307546762,35340.69372634502,0.208014708836176,0.1188845581824711,64.0716116312206,Emisor,3,Urbano-Industrial,5.8333,-73.95
68,SANTANDER,68296,GALAN,2959,110.727666,13.3,15281.36592,46.47184377434672,1580.4604304903391,17032.325860264686,65894.51098270845,-48862.18512244377,5.756108773323652,-16.513073714918477,40.93991523096787,Equilibrio,0,Agrícola-Ganadero,6.65,-73.0833
68,SANTANDER,68298,GAMBITA,4028,125.331822,1426.2,30575.276762857146,21.973280000000003,6532.054375282876,38680.836240140015,198673.4150864397,-159992.5788462997,9.602988143033768,-39.7201039836891,16.60958526790365,Sumidero,0,Agrícola-Ganadero,6.05,-73.35
68,SANTANDER,68307,GIRON,163955,46827.361224,85247.835,20975.228674285718,5943.813260000001,38265.39176209142,197259.6299203772,112272.76530710864,84986.86461326852,1.2031327493542567,0.5183548206109513,75.68712885551751,Emisor,1,Mixto-Transición,7.0667,-73.1667
68,SANTANDER,68318,GUACA,6093,166.188078,1845.1,20501.31308285714,7.833388888888888,369.7539698726992,22890.18851961873,55261.82101973175,-32371.632500113017,3.756801004368739,-5.312921795521585,45.4775668264784,Equilibrio,0,Agrícola-Ganadero,6.8833,-72.85
68,SANTANDER,68320,GUADALUPE,4522,226.389618,21.35,24146.79517142857,70.88081825638226,4442.833707673549,28908.2493153585,46326.4113822606,-17418.162066902103,6.392801706182773,-3.85187131068158,49.66036907714631,Equilibrio,0,Agrícola-Ganadero,6.25,-72.65
68,SANTANDER,68322,GUAPOTA,2461,126.201096,12.6,17017.928137142855,41.89612000000001,2994.979394526368,20193.604747669226,19241.85745837755,951.7472892916704,8.205446870243486,0.3867319338852785,54.799214675444944,Equilibrio,0,Agrícola-Ganadero,6.3333,-73.0833
68,SANTANDER,68324,GUAVATA,4244,137.673144,19.25,8912.951045714286,6.9514666666666685,2155.1342471491494,11231.959903530103,28464.0223489484,-17232.062445418294,2.646550401397291,-4.060335166215432,49.71257719868844,Equilibrio,0,Agrícola-Ganadero,5.95,-73.6833
68,SANTANDER,68327,GUEPSA,5211,444.118752,22.05,2384.600297142857,97.05359918314804,1481.375467262944,4429.198115588949,5668.656305730256,-1239.4581901413069,0.8499708531162826,-0.2378541911612563,54.18944753690476,Equilibrio,2,Mixto-Transición,6.0333,-73.5667
68,SANTANDER,68344,HATO,2398,92.376396,10.85,7687.808708571429,32.589581688051,2993.5105100121496,10817.135196271627,66734.6984887374,-55917.56329246577,4.510898747402681,-23.31841671912668,39.04014278458759,Sumidero,0,Agrícola-Ganadero,6.55,-73.1333
68,SANTANDER,68368,JESUS MARIA,3350,116.726904,14.7,7099.318371428572,12.60019303367132,1919.5600073627995,9162.905475825042,29496.666767749422,-20333.761291924384,2.735195664425386,-6.069779490126682,48.84260037137047,Equilibrio,0,Agrícola-Ganadero,5.9,-73.7667
68,SANTANDER,68370,JORDAN,1431,40.858146,4.2,2495.537714285714,2.4928073104409814,0.0,2543.088667596155,9480.476797147843,-6937.388129551689,1.7771409277401504,-4.847930209330321,52.598398124370746,Equilibrio,0,Agrícola-Ganadero,6.7,-73.0833
68,SANTANDER,68377,LA BELLEZA,6210,244.180566,3975.985,19935.355794285715,49.05832704885123,72499.30542987704,96703.8851172116,131291.40495741164,-34587.519840200024,15.572284237876266,-5.5696489275684415,44.861710602989845,Equilibrio,2,Mixto-Transición,5.8667,-73.9667
